Scheme Name,Financial Benefit,Minimum Age,Target Gender,Target Location,Target Community / Category,Business Type / Industry,Plain-Text Eligibility Summary,Documents Required,How to Apply,Official Link,🔐 Softr Record ID
Production Linked Incentive Scheme for Food Processing Industry (PLISFPI),"Incentive based on additional sales of eligible food products. Rates vary by product and year: 10% to 8% for Ready-to-Cook/Ready-to-Eat and Processed Fruits & Vegetables, 6% to 4% for Marine Products (up to 10% for value-added marine products), and 10% to 4% for Mozzarella Cheese. For foreign branding and marketing, 50% of eligible spending is supported, up to 3% of food-product sales or ₹50 crore per year, whichever is lower.",Not specified,All,India,All eligible food businesses; special category for SMEs making innovative/organic products,"Food manufacturing: Ready-to-Cook/Ready-to-Eat foods, millet-based foods, processed fruits and vegetables, marine products, mozzarella cheese, and innovative/organic food products; also branding and marketing abroad","Must manufacture eligible food products in India and sell them. Applicant must meet the required minimum sales and investment for its category. The required manufacturing chain must take place in India, except for additives, flavours and edible oils. Applicant must not be bankrupt, a wilful defaulter, fraud-reported by a financial institution, or on the SEBI debarred list. Large companies, eligible SMEs and applicants doing foreign branding/marketing can apply under the relevant category.",Application form; audit undertaking; manufacturing-site details; shareholding details; company registration/MOA/partnership deed; annual financial statements and reports; eligible food-product sales data; investment proof; Chartered Accountant certificate for sales; Chartered Engineer certificate for investment where applicable; 3% performance bank guarantee after approval; other documents required in the EOI,"Apply online when MoFPI releases an Expression of Interest (EOI). Visit the PLISFPI portal, fill the application, provide manufacturing and financial details, upload documents, pay the application fee and submit. After selection, submit the required 3% performance bank guarantee",https://plimofpi.ifciltd.com/,5GS6nXwhzqvFVr1hN4JQ1b
Production Linked Incentive Scheme for Millet-Based Products (PLISMBP),"Incentive of 10% on eligible additional sales in initial years, reducing to 8% in later years. Maximum total incentive: ₹100 crore for Large Entities and ₹40 crore for MSMEs during the scheme period.",Not applicable,All,India,All eligible food businesses,Manufacturing of packaged and branded Ready-to-Cook (RTC) / Ready-to-Eat (RTE) millet-based food products,"Must be a business making or planning to make eligible millet food products in India. Products must contain more than 15% millet. Business must meet the minimum sales requirement and achieve at least 10% yearly sales growth (CAGR). MSMEs must have Udyam Registration. The manufacturing process must mainly take place in India. Applicant/promoters must not be bankrupt, wilful defaulters, or on the relevant CIBIL/SEBI debarred lists.",Application Form; company/partnership registration documents; shareholding/partner details; last 3 years audited financial statements; PBT/PAT details; PAN; GST Registration Certificate; Udyam Registration Certificate for MSMEs; FSSAI License; auditor/CA certificate for sales; domestic and export sales details; product details and millet-content declaration; product photographs showing millet content; Credit History/Commercial CIBIL Report; integrity undertaking; audit consent; manufacturing facility details; promoter/director/key-person details with PAN/DIN; external credit rating if available,"Apply online when MoFPI releases an Expression of Interest (EOI). Register on the PMA portal, fill the application, upload documents, provide manufacturing-site details, give audit consent, pay the application fee (₹1 lakh for Large Entities or ₹10,000 for MSMEs) and submit before the deadline. Selected applicants submit yearly incentive claims.",https://elcina.com/assets/pdfs/Draft_Application_Form_PLI_for_IT_Hardware.pdf,KbLZauGbhiBghybuQ4rQAF
International cooperative scheme-Capacity Building of First Time MSE Exporters,"RCMC: 75% of cost, up to ₹20,000. Export insurance: up to ₹10,000 per financial year. Testing and quality certification: 75% of cost, up to ₹1 lakh per MSE per financial year, for maximum 3 certificates",Not specified,All,India,All,"Micro and Small Enterprises (MSEs), first-time exporters","Must be a Micro or Small Enterprise with valid Udyam Registration. The Importer Exporter Code (IEC) must be less than 3 years old on the date of export shipment. The scheme helps first-time exporters pay part of the cost of RCMC, export insurance, and testing/quality certification",Udyam Registration; IEC Code; RCMC fee receipt; export proof; insurance premium receipt; testing/quality certificate; proof of export; proof that testing/certification is required for export; self-declaration that the same benefit was not taken under MAI; other prescribed claim documents,"Apply online through the International Cooperation Scheme portal. Register as a new user or log in, submit the application/claim with required documents and expenditure details. RCMC, insurance and testing-certification claims follow the respective prescribed process through EPCs, ECGC or NSIC.",https://leatherindia.org/wp-content/uploads/2023/01/Claim-Form-CBFTE.pdf,VjcGbRMqVf1uP46opafsRm
Design Scheme – MSME Innovative Scheme,"Government pays 75% of project cost for Micro Enterprises and 60% for Small & Medium Enterprises, up to ₹40 lakh. For approved student projects, government pays 75% of project cost, up to ₹2.5 lakh.",Not specified,All,India,All,"Micro, Small and Medium Enterprises (MSMEs)","The business must be a registered Micro, Small or Medium Enterprise. It must have a valid Udyam Registration or Udyog Aadhaar Memorandum (UAM). The scheme helps businesses develop new products, improve existing products and get advice from professional designers.",Udyam Registration/Udyog Aadhaar Memorandum (UAM) certificate; registered mobile number,"Apply online. Visit the MSME Innovative portal, select “Design”, click “Join Design Scheme”, enter the Udyam Registration Number and registered mobile number, validate and complete the application.",https://udyamregistration.gov.in/UdyamRegistration.aspx,KMkz72Bn7Bz33Co7qydHtH
PM Employment Generation Programme (PMEGP),Govt gives 15%–35% of the business cost as a gift (you don't repay this part). Bank gives the rest as a loan. You pay only 5%–10% from your pocket. New business: up to ₹50 lakh (factory-type) or ₹20 lakh (shop/service-type).,18 years ,"All (women count as special category, get more subsidy)",Works in both village and city areas,General public; more subsidy for SC/ST/OBC/Minority/Women/Ex-Army/Transgender/Disabled/NE Region/Hill & Border/Disaster-hit areas,"New factory-type (manufacturing) business or new shop/service business (must be NEW, not an old business)","You can apply if: you are 18 or older, want to start a brand-new business (not expand an old one), and have never taken money from a similar govt scheme before. Only one person per family can apply. If your business costs more than ₹10 lakh (factory-type) or ₹5 lakh (shop/service), you must have passed Class 8 in school. You cannot apply for: meat, tobacco, liquor, or paan/cigarette businesses, or farming/tea/coffee/rubber growing businesses.","Caste certificate, Special category certificate (if needed), Rural area certificate (if needed), Project report, Education/skill training certificate, ID proof","Apply online on the myScheme/PMEGP website: fill the form, upload documents, submit. Or apply offline: fill the paper form and hand it to your local KVIC/KVIB/DIC/Coir Board office, they will give you a receipt slip.",https://www.kviconline.gov.in/pmegpeportal/,7Fr2f5R5znc4GRaPc2GT38
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance for Reimbursement of CGTMSE Fees","Govt pays back 100% of the yearly bank fee you pay for your collateral-free loan (up to ₹2 crore loan), for 5 years. You don't pay this fee yourself.",Not specified (no age limit mentioned),All,Gujarat state only,General public (no caste/community restriction mentioned),Manufacturing businesses only (not for shop/service/trading businesses),"You can apply if: your business is Micro/Small/Medium, you already took a collateral-free loan (called CGTMSE loan) from a bank, and you apply within 1 year of getting the loan money or before you start production (whichever is later). Shop, service, and trading businesses cannot apply.","Loan sanction letter copy, bank loan statement, Udyam registration copy, PAN card copy, business proof documents, ITR copy, project report, property documents, and other business papers (full list is long — ask your bank/DIC office for the checklist)","Apply online on the Investor Facilitation Portal (IFP): register with your email, verify it, log in, and fill in your business details and documents.",https://ifp.gujarat.gov.in/,RBNStf4og39YcKedSvJUrt
New Swarnima Scheme for Women,"Loan up to ₹2,00,000 at only 5% yearly interest for starting your own work. If your business costs ₹2,00,000 or less, you don't need to put in any of your own money.",18 years (up to 55 years),Women only,All India (apply at your nearest SCA office),Backward Classes (OBC) women,Any self-employment / small business,"You can apply if: you are a woman between 18–55 years old, belong to a Backward Class, run or want to run your own small business, and your family's total yearly income is less than ₹3 lakh.","Aadhaar card, Ration card, Domicile certificate, Caste certificate (if reserved category), Passport-size photo","Go to your nearest SCA (State Channelising Agency) office, fill the application form by hand, write down your business idea and any training needed, and submit the form with your documents. Office finder: https://nsfdc.nic.in/channel-patrners/scas",https://nbcfdc.gov.in/nbcfdc/web/en/loan-scheme-description,2y7f8BNN1XJs32iB1ZnHbK
Mahila Samriddhi Yojana (MSY),"Loan up to ₹1,40,000 at low interest to start your own work. Pay back over 3.5 years in small quarterly parts. Free training + stipend given if you join a women's group (SHG).",18 years (up to 55 years),Women only,All India (apply through State Channelising Agency offices),SC/ST/OBC and other backward/minority women; groups of ~20 women (SHGs) preferred,Any small business / income-generating work,"You can apply if: you are a woman between 18–55 years old, belong to SC/ST/OBC or a low-income family, your family's yearly income is less than ₹3 lakh, and you want to start your own work or join a women's group (SHG) for training and loan.","Address proof, ID proof, Aadhaar card, SHG membership ID (if in a group), Caste certificate (if applicable), Income certificate, Bank account details, Passport-size photo","Get the application form from the NSFDC website or your state government office, fill it with your details, attach documents, and submit it to your nearest SCA (State Channelising Agency) office.",https://nsfdc.nic.in,SJMMzNBUqkGqVyFqQr3pK6
Mahila Samman Savings Certificate,"Put money in (₹1,000 to ₹2,00,000) and get 7.5% yearly interest, added every 3 months. Get your money back after 2 years. You can also take out up to 40% of your money after 1 year if needed.","No minimum age (can be opened for a girl child too, by a guardian)",Women and girls only,All India (Post Offices and select banks),Open to all women — no caste/community restriction,Not a business scheme — this is a savings/deposit scheme,"Any woman or girl (Indian citizen) can open this. A guardian can open it for a girl child. Only one account per person type, and only ₹2,00,000 total can be deposited across accounts.","Passport-size photo, Birth certificate (age proof), Aadhaar card, PAN card, Deposit slip/cheque, One ID+address proof (Passport, Driving licence, Voter ID, etc.)","Go to your nearest Post Office or listed bank, get/download the form, fill it, attach documents, deposit your money, and collect your certificate.",https://www.nsiindia.gov.in/writereaddata/FileUploads/Letter%20MSSC%20-%20reg.pdf,ChUCvwzCK1koefjizmiroL
Visvesvaraya PhD Scheme - Young Faculty Research Fellowship (YFRF),"₹20,000 per month extra (on top of salary) + ₹5,00,000 per year for research costs, for up to 5 years",Not specified (upper age limit is 40 years),All genders,All India (must work at a recognised institution),"General public — for PhD faculty/teachers only, no caste/community criteria","Not a business scheme — this is for teachers/researchers doing PhD-level research, not for starting a business","You can apply if: you are an Indian citizen, have a PhD with good grades, hold a permanent teaching/research job, are under 40 years old, and have not already taken this fellowship before. Your college must apply for you — you cannot apply on your own.",No fixed list — your institution collects the documents needed and applies on your behalf,"Your institution applies for you online, when MeitY announces a ""call for nominations."" Each institution can only send up to 3 names per round. ",https://phd.dic.gov.in,6JEn9KtFJ7JsBQwBpjJnxs
PM POSHAN (School Meal Scheme),Free hot cooked meal every school day (meets daily calorie and protein needs),"Not specified (school-going age, Class 1 to 8, plus pre-school/Bal Vatika)",All genders,All India,Open to all — no caste/community restriction,Not a business scheme — this is a school meal benefit,Any child studying in Class 1 to 8 (or pre-school) in a Government or Government-aided school gets this automatically. No application needed.,None required,No application needed — the meal is given automatically to all eligible children at school.,https://pmposhan.education.gov.in,Cjb4Xt8HyUZG864VhWqSRW
Export Promotion Council Membership Reimbursement Scheme for SC/ST,"Get back 80% of your membership fee (up to ₹20,000 per year) that you paid to join an Export Promotion Council",Not specified,All genders,All India,SC/ST community only (business owner must be SC/ST),Micro or Small business that exports goods (must already be a member of an Export Promotion Council),"You can apply if: you belong to SC or ST community, own or run a Micro/Small business, and have already paid membership fees to an Export Promotion Council. If it's a partnership/company, SC/ST owners must hold more than 51% share.","Udyam registration, GST number (if any), PAN card, Caste certificate, Partnership/company documents (if applicable), Import-Export Code (IEC) certificate, EPC membership certificate, Fee payment receipt & GST invoice, Cancelled cheque of business bank account","Go to the National SC-ST Hub website, sign up with your name/email/phone, create a password, log in, fill in your details, and submit the form online.",https://scsthub.in,V8wEpPJtZtQaS6xz1Gvqv4
Credit Based Schemes for SC - Term Loan (TL),"Loan up to ₹50,00,000 for your business (bank/NSFDC gives up to 95%, you pay only 2%–5%). Low interest: 6%–9% per year depending on loan size. If you are very poor (below poverty line), you may also get ₹10,000 or 50% of business cost as a free subsidy.",Not specified,All genders,All India (apply through your nearest Channelising Agency),Scheduled Caste (SC) community only,Any income-generating business (must be a workable/viable project),"You can apply if: you belong to the SC community, have a workable business idea, and your family's yearly income is less than ₹3 lakh. Your project plan will be checked by the local agency before the loan is approved.","Aadhaar card, Income certificate, Caste certificate, Bank account statement","Contact your nearest Channelising Agency (SCA/bank), fill the term loan form, submit your business plan and documents. Office finder: https://nsfdc.nic.in/channel-patrners/",https://nsfdc.nic.in,5ZJXTXBCgb3JdyY2aMtPBq
Testing Fee Reimbursement Scheme,"Get back 80% of your product testing fee (up to ₹1,00,000), for testing your raw material, half-made goods, or finished products. Can be claimed many times in a year.",Not Specified ,All genders ,All India ,SC/ST community only (business owner must be SC/ST),Micro or Small business (must be registered on Udyam portal),"You can apply if: you belong to SC or ST community, own a Micro/Small business registered on Udyam, and have paid to test your products at a government-approved lab (NABL/BIS). If it's a partnership/company, SC/ST owners must hold more than 51% share.","Udyam & GST registration copy, PAN card, Caste certificate, Partnership/company documents (if applicable), Test payment receipt & GST invoice, Lab test report (NABL/BIS stamped), Cancelled cheque of business bank account","Go to the National SC-ST Hub website, sign up with your name/email/phone, create a password, log in, fill in your details, and submit the form online.",https://scsthub.in,WJQzFYg5vkVFsh4j5gGKnZ
Aamar Dukan On Wheels,"You get an E-rickshaw shop with daily essential items (like rice, sugar, oil) to sell door-to-door. You can keep a profit of ₹2–3 per kg/litre you sell.",18 years,Any,Assam only (must be a permanent resident,Unemployed educated youth (no caste/community restriction),Mobile retail shop — selling daily essential household items door-to-door,"You can apply if: (1) you are 18 or older, (2) you live in Assam, (3) you are unemployed, (4) you have passed HSLC (class 10) or an equivalent exam, (5) your name is registered at the Employment Exchange. Note: you must follow the officer's rules on schedule, pricing, and area, or your licence can be cancelled and you may have to return the aid with interest",Age proof; Address proof; ID proof (Aadhaar/Voter ID/Driving License); Education certificate; Experience certificate (if any); Photographs,"Applications are invited by your local Deputy Commissioner/Sub-Divisional Officer/Principal Secretary office. Selection is based on your education, past experience, and financial condition — not a fixed online form",https://fcsca.assam.gov.in,FWPuKr2pmoKE3vZxWj8mgb
Swahid Dayal Das Panika Swaniyojan Achoni,Money to help you start or grow your own self-employed work (exact amount not stated in text),20 to 35 years,Any,Assam only (must be a permanent resident),Tea Tribes and Adivasi community,Any self-employment activity/trade,"You can apply if: (1) you are 20–35 years old, (2) you live in Assam and belong to the Tea Tribes or Adivasi community, (3) you are already self-employed, (4) your family owns less than 10 bighas of land, (5) you or your family has not received this benefit in the last 3 years, (6) only one person per family can apply. Note: you cannot apply if you work for the government, a Panchayat body, a selection committee, or as permanent staff at a tea garden. People with disabilities and those with 3 months of skills training get preference",Passport photo; Signature; Date of birth certificate; Age proof (birth certificate or school leaving certificate); Caste certificate; A signed note confirming you have less than 10 bighas of land; A signed note about your family's income; Voter ID/PAN/Driving License; Aadhaar card; A signed declaration with your photo standing in front of your business; A recommendation letter from the Chairman; First page of your bank passbook,"Apply online through the SIRISH portal (via www.ttwd.assam.gov.in) — register or log in, select the scheme, fill in your personal and location details, upload your documents, add your bank details, review everything, and submit. You'll get an application number to track your status",https://sirishassam.in,WRRB1h7vuKRGgiuA93KYvB
Biponi Scheme,"₹5,000 stall rent support inside Assam; ₹15,000 stall rent support outside Assam; daily allowance of ₹50 per stall within district, ₹600 outside district, and ₹500 outside Assam; 2nd-class railway fare for 2 people for travel outside Assam",18 years,All,Rural areas of Assam,"Small traders, farmers and artisans; caste certificate if applicable","Existing small industries, trading, farming and artisan businesses","Applicant must be 18–50 years old. The industry must be in a rural area of Assam, already operating continuously for at least 2 years, and have its own workshed for production. No educational qualification is required.",Passport-size photograph; industry registration; caste certificate if applicable; training certificate if available; cancelled cheque with proprietor's name; quotation from fair organisation showing stall rent,"Get/download the Biponi application form, fill it in the required format, attach the documents and submit it to the District Industries and Commerce Centre (DICC).",https://industries.assam.gov.in/sites/default/files/Biponi_0.pdf,UT5vLSHecH6r4mtXYtGCAK
Technology Development Fund (TDF) Scheme,"Funding up to 90% of project cost, with project cost up to ₹50 crore considered. Supports prototype development, trials and defence technology. Up to 20% support may be provided to incubators associated with nascent startups.",Not specified,All,India,"MSMEs, startups, public/private companies, partnership firms, LLPs, one-person companies and sole proprietorships registered in India","Defence technology, defence manufacturing, prototypes, innovative products and processes","Applicant must be an Indian-registered company, firm or business. Startups must be DPIIT-recognized. Nascent startups must be less than 3 years old and incubated at a Central/State government-assisted incubator. The startup must be at least 51% owned and controlled by a Resident Indian citizen and must not have received government funding for the same technology.",Detailed Project Update Report; Utilization Certificate and Statement of Expenses (UC & SE); Chartered Accountant Certificate for subsequent instalments; other application details/documents as required,"Apply online on the TDF portal. Register with name, contact, organisation, registration type and focus area. Confirm Indian ownership with at least 51% resident Indian shareholding, accept terms, verify captcha and register. Then log in and submit the required details.",https://tdf.drdo.gov.in/innovator/register,NKyvjCpvbCTHTZs2qkdgMc
NIDHI – Seed Support Program (SSP),Startups/entrepreneurs can get up to ₹1 crore. Incubators can receive up to ₹10 crore in phases to support startups.,Not specified,All,India,"Entrepreneurs, startups, students, researchers and innovators with innovative ideas","Technology, innovation and startup businesses","Open to entrepreneurs, startups, students, researchers and innovators who have innovative ideas, technologies, products or services. Support for startups is provided through incubators.",Aadhaar Card or valid government ID; Startup Registration Certificate if applicable; Business Plan/Project Proposal; Pitch Deck; Incubation Certificate or recommendation letter from incubator,"Apply online through the DST e-PMS Portal. Register as a new applicant, create a login, enter personal and organisation/startup details, submit the form and create the password using the confirmation email.",https://onlinedst.gov.in/Login.aspx,BbxBh2Chg1ycQa4jrKwSnm
Incubation Scheme,"Up to ₹15 lakh per idea for developing and nurturing ideas. Up to ₹1 crore for plant, machinery, hardware and software for R&D and common facilities.",Not specified,All,India,"Technical colleges, universities, professional colleges/institutes, R&D institutes, eligible NGOs, MSME-DIs, Technology Centres and Central/State Government organisations","Business incubation, R&D, technology and innovation support","Eligible institutions can apply to become a Host Institute (HI) and Business Incubator (BI). The institution should support new ideas, innovation and technology development for MSMEs.",University affiliation; AICTE approval; NABL or other accreditation; last 2 years audited annual accounts with auditor's report; any other required documents,"Apply online. Register as HI on the official portal, enter details and submit. After login, select ""Apply for HI/BI Approval"", fill the application and click ""Final Submit"".",https://my.msme.gov.in/inc/,3MGvDPHqu4v6txXKnRHiib
Fund of Funds for Startups,"Equity/equity-linked funding for startups through SEBI-registered AIFs. FFS has a ₹10,000 crore corpus. Supported AIFs must invest at least 2 times the FFS contribution in startups.",Startup up to 10 years old from incorporation,All,India,DPIIT-recognized startups; funding is provided indirectly through eligible AIFs,"Startups working on innovation, technology, research, or improving products, processes, or services","FFS directly supports eligible Category I or II AIFs, not individual startups. AIFs must be registered with SEBI or have applied, have a corpus below ₹1,000 crore, invest in startups, and agree to invest at least twice the FFS contribution. Startups receiving investment must be DPIIT-recognized and up to 10 years old.","AIF registration certificate; IM Agreement; past track record if any; PPM; AIF and fund financials; Trust Deed; contributor details; Startup Certificate; KYC documents including Aadhaar, PAN, financials and CIBIL score","Apply online through the FFS process: eligibility check and registration, questionnaire, preliminary review, meetings, detailed application, due diligence, VCIC appraisal and presentation, SIDBI Executive Committee approval, Letter of Intent, agreement signing and onboarding. Startups should approach eligible AIFs.",https://www.sidbi.in/en/fund-of-funds-for-startups,4SNSNo6bjXNVuvtnLcLcnK
Loan Based Schemes For Safai Karamchari - Sanitary Marts Scheme,"Loan up to 90% of project cost, maximum ₹15 lakh. Beneficiary contributes 10%. Interest up to 7% per year; 1% rebate for women and 0.50% rebate for timely repayment. Repayment up to 10 years.",Not specified,All; women get interest rebate,India,"Safai Karamcharis, waste pickers, identified manual scavengers and their dependents; registered Safai Karamchari cooperatives; associations/firms promoted by the target group",Sanitary Mart / sanitation-related business,"Safai Karamcharis, waste pickers, identified manual scavengers and their dependents can apply. Registered cooperatives and legally formed groups/firms of the target group can also apply. A valid occupation/target-group certificate may be needed. A person already listed as a manual scavenger in the official government survey does not need another certificate. No income limit is fixed.",Aadhaar Card; Occupation Certificate; certificate from an approved local/government authority; any other required documents,"Submit the loan application to the District Office of the State Channelizing Agency (SCA), or a branch of an RRB/Nationalised Bank. The application is checked and the viable project is sent to NSKFDC for approval. After approval and loan agreement, the money is released through the SCA/bank.",https://nskfdc.nic.in/,QgfnQVVnEHwVEjHYm2S9yU
Consortia & Tender Marketing Scheme,Helps MSEs get government/PSU tender orders; NSIC can help with EMD and security deposits; helps access credit and raw materials.,Not specified,All,India,Micro & Small Enterprises (MSEs); SC/ST-owned units get exemption from enlistment fee,Manufacturing/service MSEs; not pure trading without value addition,"Must be a Micro or Small Enterprise registered with NSIC under SPRS, or apply for SPRS registration with required documents. The factory/unit must be inspected before tender participation. Businesses doing only trading without value addition, packing or branding are not eligible.",Passport-size photo and residential proof of Proprietor/Partner/Director/Society office bearers; self-attested G.P. Registration Certificate; Power of Attorney/Board Resolution/Society Resolution; bank-attested specimen signature; recent supply orders; enlistment fee,"Fill the prescribed application form (Annexure A/A-1), sign it by the authorized person, attach all required documents, and submit it to the concerned/regional NSIC branch office.",https://www.nsic.co.in/pdfs/CTMS_scheme_revised_06062022.pdf,ZCzZX93PQyRWXENhmM8Dw
PM Formalisation of Micro Food Processing Enterprises (PMFME),"Government gives 35% of your project cost back (up to ₹10 lakh) after you take a bank loan. Self-help group members can get ₹40,000 each for working money and small tools.",18 years ,All genders (special support for women-led groups),All India (rural and urban),"Individual owners, Self-Help Groups, Farmer Producer Organizations, cooperatives — special focus on women's groups","Food-related businesses only — pickle-making, spices, bakery, millet products, oil, dairy, and similar food processing work","You must already run or want to start a small food-making business (like pickle, spice, or bakery work). Your unit must be unregistered/informal right now — this scheme helps you become official. You must arrange some money yourself; rest comes from bank loan + this subsidy.","Aadhaar card, voter ID or driving license or passport, 2 passport photos, address proof, project report, bank account details","Apply online at pmfme.mofpi.gov.in. Fill your business details, upload documents, and it goes to a bank for loan approval.",https://pmfme.mofpi.gov.in,EXVrLyTkqTvv8Zw76EEvuQ
PM Vishwakarma Yojana,"Toolkit money ₹15,000. Loan up to ₹3 lakh (₹1 lakh first part, ₹2 lakh second part) at 5% interest. ₹500 per day during training. ₹1 per digital payment, up to 100 payments a month",18 years,All genders ,"All India (extra help for North East, island and hilly areas)","Artisan families; extra focus on SC, ST, OBC, disabled persons","Carpenter, blacksmith, goldsmith, potter, tailor, cobbler, boat maker, mason, sculptor, and other hand-craft trades ",You must be 18 or older. You must work with your hands making or fixing things. You must not have a government job in your family. Only one person per family can apply.,"Aadhaar card, mobile number linked to Aadhaar, bank account details, passport photo, proof of your trade if you have it",Go to your nearest Common Service Centre (CSC) and ask to register. It is free.,pmvishwakarma.gov.in,CgB5NHJV3pSQtMVi75qk9n
Pradhan Mantri Mudra Yojana (PMMY),"Business loan with no collateral needed. Four levels: Shishu (up to ₹50,000), Kishore (₹50,000 to ₹5 lakh), Tarun (₹5 lakh to ₹10 lakh), Tarun Plus (₹10 lakh to ₹20 lakh, only for people who already repaid a Tarun loan). Interest rate depends on the bank, usually 9% to 12% per year.",18 years (upto 65),All genders (extra support for women entrepreneurs),All India ,Small business owners; nearly 2 out of 3 loans go to women,"Any small non-farm business — shop, trading, manufacturing, or services (also dairy, beekeeping, and similar farm-linked work)","You must be 18 to 65 years old. You must run a small business (not a company) that is not farming crops. You must not need to give any land, gold, or property as security.","ID proof (Aadhaar/Voter ID/PAN), address proof, passport photo, business proof (registration or address of shop), bank statements (if asked), quotation for equipment (if buying machinery)","Apply online at the Udyamimitra or JanSamarth portal, or visit any bank branch (SBI, PNB, HDFC, and most banks/NBFCs offer this loan)",https://www.mudra.org.in,3c4a9nHH4sGru9HmtBKgXX
Prime Minister's Employment Generation Programme (PMEGP),Government gives back 15% to 35% of your project cost as a gift (not to repay). Rest comes as a bank loan. Manufacturing: up to ₹50 lakh project. Service/business: up to ₹20 lakh project.,18 years ,All genders (women get higher subsidy),All India (rural and urban),"General category and Special category (SC, ST, OBC, Women, Ex-Servicemen, Disabled, North East, hill/border areas get more subsidy)","Any new small manufacturing, service, or trading business (not farming)","You must be 18 or older. Your business must be brand new (not already running). If your project costs more than ₹10 lakh (manufacturing) or ₹5 lakh (service), you must have passed 8th standard in school. You put in only 5–10% of the money yourself; rest is loan + subsidy.","Aadhaar card, PAN card, passport photo, address proof, project report (what your business will do), 8th standard pass certificate (if needed), caste certificate (if applying under special category)","Apply online at kviconline.gov.in (PMEGP e-portal). Fill the form, upload documents and project report, then it goes to a bank for approval.",https://www.kviconline.gov.in/pmegpeportal,WNQaUoic8JCo8y5U4tBMri
Startup India Seed Fund Scheme ,"Grant up to ₹20 lakh for building and testing your idea. Grant up to ₹50 lakh (as loan-type support) to enter the market and sell. Money is given in parts as you hit goals, not all at once.",Not age-specific,All genders ,All India ,Any Indian founder; company must be majority Indian-owned (51%+),"New, innovative businesses (tech, product, or service ideas — not a regular shop)","Your company must be officially recognized as a ""Startup"" by the government (DPIIT). It must be less than 2 years old. It must have a new or unique idea, not a copy of existing business. You should not have already gotten more than ₹10 lakh in past government help.","DPIIT recognition certificate, company registration papers, PAN, founder ID proof, business plan/pitch deck, bank account details","Apply online at seedfund.startupindia.gov.in. Choose an incubator near you, submit your idea, and pitch it if shortlisted. Money comes through the incubator, not directly.",https://seedfund.startupindia.gov.in/,2hCeGerfvhr46XwD6oNjTE
PM SVANidhi (Prime Minister's Street Vendor's Atmanirbhar Nidhi),"Loan of ₹10,000 (1st time), ₹20,000 (2nd time), ₹50,000 (3rd time). Low interest. Extra cashback for using digital payment.",18 years ,All genders ,All India (urban areas only),"Any community, no restriction","Street vending (selling on carts, footpaths, small stalls)","You can apply if you were selling on the street before 24 March 2020 and have a vending certificate or ID card from your local city office. Even without a certificate, you can apply if your name is on the city's street vendor list.","Vending Certificate or ID Card (if you don't have one, your name on the survey list works), Aadhaar Card, Bank Account","Apply online on the PM SVANidhi website, or visit your nearest bank, or go to a Common Service Centre (CSC) near you for help applying.",https://pmsvanidhi.mohua.gov.in/LoginThirdLoanTerm,QPRaNtzMWnsYbcsx9ewheZ
Swanirbhar Naari Scheme ,"Government buys your handmade woven items directly from you, no middleman, so you get fair payment. Money is sent to your bank account.",18 years,Women Only ,Assam State only ,Indigenous weaver families,Handloom weaving (traditional hand-woven items),"You can join if you live in Assam, are a woman, have at least one handloom at home, and have a bank account. People from other states cannot apply. An officer will visit and check before you're approved.","Bank Account (with CBS), Proof you live in Assam, Proof you have a handloom at home",Go to the Swanirbhar Naari website (swanirbharnaari.assam.gov.in) and register with your details and documents. Wait for a government officer to visit and verify.,https://swanirbharnaari.assam.gov.in,HMs1TRJsmtELvDmneqAFV8
Chief Minister's Atmanirbhar Asom Abhijan (CMAAA),"₹2 lakh (general) or ₹5 lakh (professional degree holders) — half is free money (grant), half is a loan with no interest",28 years,Both Men and Women ,Assam State only ,"Educated unemployed youth, no caste/community restriction",Any small business or self-employment venture,"You can apply if you live in Assam, are between 28-45 years old, have finished at least higher secondary school, are jobless, and have not taken this scheme before (only one person per family can apply).","Aadhaar/Voter ID/Passport/Driving License, Bank Passbook (first page), Employment Exchange registration","Register online on the CMAAA portal, wait for the application window to open, then log in again to submit your business plan and documents.",https://cmaaa.assam.gov.in/iservices/register,4wTW2cFY79fiHkUqQmveQ3
Sarothi (CM's Start-Up Fund),"Loan up to ₹10 lakh. Government pays 5% of the bank's interest for you, so your loan is cheaper. No fees to pay for paperwork.",not specified ,Both Men and Women ,Assam state only ,"Any community, no restriction","New startups, new small businesses (MSME), any innovative business idea",You can apply if you are starting a new business or MSME in Assam and have not failed to repay a bank loan before. People who already did skill training get priority.,"Application form (Form-A), 2 passport photos, ID proof, business plan/project report",Apply through Assam Gramin Vikas Bank (AGVB) or your local DIC (District Industries Centre) office with the application form and documents.,https://assam.gov.in/sites/default/files/2020-11/Sarothi_1_0.pdf,WRYtzM3MbwPSBJ3vpd5Hkm
